"","2.5 %","97.5 %","point_est"
"(Intercept)",-0.475776630164897,0.535006195403749,0.0296147826194261
"TRI",-0.348531289381405,0.0211376485370938,-0.163696820422156
"max_elev",0.0342412249047603,0.256982788475316,0.145612006690038
"Nearest_Dist",-0.14285556773399,-0.00295619991761283,-0.0729058838258015
"n_habitat",0.0177994482586161,0.0740931337148209,0.0459462909867185
"area",0.0443339337045895,0.127583880216563,0.0859589069605761
"dist_occ_islands",-0.0109350038801995,0.28994213307549,0.139503564597645
"sd_csi",-0.102924711864101,0.273796692068443,0.0854359901021711
"dist_mainland",-0.0718284758983846,0.183888001887305,0.0560297629944604
"mean_csi",-0.297970897766882,0.194742319796814,-0.0516142889850337
